S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close
1,ACLBSL,"1,021.20",-23.11,-2.21,"1,030.00","1,049.00","1,021.00","1,525.00","1,044.31"
2,ADBL,283.60,-1.92,-0.67,280.00,285.00,280.00,"10,011.00",285.52
3,ADBLD83,"1,071.20",-8.80,-0.81,"1,075.00","1,075.00","1,071.20",100.00,"1,080.00"
4,AHL,598.10,-1.25,-0.21,594.00,605.80,594.00,"1,160.00",599.35
5,AHPC,300.00,3.24,1.09,302.60,305.00,297.00,"251,612.00",296.76
6,AKJCL,220.00,8.77,4.15,213.20,222.00,211.00,"750,148.00",211.23
7,AKPL,275.60,-2.38,-0.86,280.70,282.00,275.60,"269,686.00",277.98
8,ALBSL,800.10,-6.58,-0.82,802.20,806.00,800.10,"1,188.00",806.68
9,ALICL,497.70,-2.58,-0.52,500.00,502.00,497.70,"11,962.00",500.28
10,ANLB,"5,450.00",-88.40,-1.60,"5,427.80","5,450.00","5,427.70",67.00,"5,538.40"
11,API,302.00,3.90,1.31,298.00,304.90,298.00,"196,462.00",298.10
12,AVYAN,"1,002.10",-5.89,-0.58,"1,000.30","1,010.00","1,000.30",870.00,"1,007.99"
13,BARUN,382.50,-5.42,-1.40,388.10,393.00,379.00,"83,394.00",387.92
14,BBC,"5,545.00",18.73,0.34,"5,550.00","5,550.00","5,425.00",365.00,"5,526.27"
15,BEDC,685.00,-76.05,-9.99,745.90,745.90,685.00,"69,319.00",761.05
16,BFC,474.00,-1.88,-0.40,466.40,485.00,466.40,"13,918.00",475.88
17,BGWT,903.30,-15.56,-1.69,903.20,912.00,903.00,"2,082.00",918.86
18,BHDC,482.00,-8.61,-1.75,490.00,490.00,469.00,"32,265.00",490.61
19,BHL,214.00,1.59,0.75,213.90,214.80,212.00,"126,904.00",212.41
20,BHPL,770.00,10.46,1.38,746.50,770.00,746.00,"4,216.00",759.54
21,BNHC,507.60,1.78,0.35,515.60,515.60,490.00,"12,863.00",505.82
22,BNL,"16,366.00",-334.00,-2.00,"16,366.00","16,366.00","16,366.00",10.00,"16,700.00"
23,BNT,"12,461.00",-17.00,-0.14,"12,460.00","12,478.00","12,460.00",40.00,"12,478.00"
24,BPCL,892.90,15.77,1.80,884.00,894.00,862.40,"413,970.00",877.13
25,C30MF,9.81,0.00,0.00,9.81,9.81,9.62,"10,800.00",9.81
26,CBBL,890.00,-6.58,-0.73,891.00,895.00,888.00,"3,966.00",896.58
27,CFCL,510.10,-3.90,-0.76,514.00,524.00,510.00,"8,978.00",514.00
28,CGH,"1,014.00",17.16,1.72,990.00,"1,029.10",981.00,"110,183.00",996.84
29,CHCL,572.20,-2.70,-0.47,563.60,585.00,563.60,"251,782.00",574.90
30,CHDC,"2,535.00",-6.09,-0.24,"2,550.00","2,565.00","2,521.00","12,423.00","2,541.09"
31,CHL,313.00,5.62,1.83,312.50,320.00,307.10,"33,854.00",307.38
32,CIT,"1,888.10",-2.11,-0.11,"1,891.10","1,893.00","1,885.30","5,273.00","1,890.21"
33,CITY,842.00,0.18,0.02,826.00,849.90,825.00,"6,812.00",841.82
34,CKHL,620.70,-5.63,-0.90,637.00,637.00,613.90,"4,042.00",626.33
35,CLI,463.10,-2.39,-0.51,465.00,470.00,463.00,"13,167.00",465.49
36,CMF2,9.39,-0.16,-1.68,9.74,9.74,9.38,"3,400.00",9.55
37,CORBL,"2,285.00",-124.90,-5.18,"2,399.90","2,399.90","2,260.00","4,659.00","2,409.90"
38,CREST,"1,402.00",-37.70,-2.62,"1,439.70","1,452.00","1,395.60","14,003.00","1,439.70"
39,CYCL,"1,613.10",-12.16,-0.75,"1,607.10","1,638.50","1,607.10",774.00,"1,625.26"
40,CZBIL,203.20,0.06,0.03,206.00,206.00,202.60,"65,110.00",203.14
41,DDBL,791.00,-9.48,-1.18,789.10,797.00,789.10,"2,400.00",800.48
42,DHPL,341.00,12.18,3.70,332.90,345.00,329.00,"46,654.00",328.82
43,DLBS,"1,413.00",-23.57,-1.64,"1,411.00","1,420.00","1,411.00",111.00,"1,436.57"
44,DOLTI,565.00,7.10,1.27,569.00,569.00,557.70,"3,740.00",557.90
45,DORDI,383.00,8.77,2.34,370.10,402.90,370.10,"19,974.00",374.23
46,EBL,638.90,1.17,0.18,635.00,640.00,634.00,"19,280.00",637.73
47,EBLD86,"1,042.10",-7.90,-0.75,"1,042.10","1,042.10","1,042.10",25.00,"1,050.00"
48,EBLD91,"1,030.10",1.10,0.11,"1,030.10","1,030.10","1,030.10",75.00,"1,029.00"
49,EBLEB89,"1,010.00",-17.00,-1.66,"1,010.00","1,010.00","1,010.00",50.00,"1,027.00"
50,EDBL,563.20,-3.56,-0.63,558.00,586.00,558.00,"7,642.00",566.76
51,EHPL,552.50,-4.21,-0.76,552.10,567.80,552.10,"1,036.00",556.71
52,ENL,"1,070.00",-10.82,-1.00,"1,073.10","1,073.10","1,067.00",880.00,"1,080.82"
53,FMDBL,758.00,1.77,0.23,751.00,758.00,745.20,"4,512.00",756.23
54,FOWAD,"1,096.20",-16.30,-1.47,"1,090.30","1,111.10","1,090.30","1,591.00","1,112.50"
55,GBBD85,"1,050.00",-10.00,-0.94,"1,050.00","1,050.00","1,050.00",50.00,"1,060.00"
56,GBBL,389.00,-1.78,-0.46,389.50,390.10,387.30,"15,947.00",390.78
57,GBILD84/85,"1,166.00",18.80,1.64,"1,153.00","1,166.00","1,153.00",50.00,"1,147.20"
58,GBILD86/87,"1,080.00",15.00,1.41,"1,079.90","1,080.00","1,079.90",207.00,"1,065.00"
